# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 1000
# Content below the first bin: 47
# Content above the last  bin: 0
# Number of events: 99994
2 0.01
0.276505 0.00109 6
0.277595 0.00109 5
0.278685 0.00109 4
0.279775 0.00109 5
0.280865 0.00109 5
0.281955 0.00109 5
0.283045 0.00109 6
0.284135 0.00109 7
0.285225 0.00109 7
0.286315 0.00109 5
0.287405 0.00109 6
0.288495 0.00109 7
0.289585 0.00109 7
0.290675 0.00109 3
0.291765 0.00109 6
0.292855 0.00109 5
0.293945 0.00109 9
0.295035 0.00109 7
0.296125 0.00109 7
0.297215 0.00109 5
0.298305 0.00109 2
0.299395 0.00109 10
0.300485 0.00109 3
0.301575 0.00109 9
0.302665 0.00109 5
0.303755 0.00109 7
0.304845 0.00109 6
0.305935 0.00109 4
0.307025 0.00109 8
0.308115 0.00109 6
0.309205 0.00109 7
0.310295 0.00109 8
0.311385 0.00109 7
0.312475 0.00109 4
0.313565 0.00109 4
0.314655 0.00109 8
0.315745 0.00109 6
0.316835 0.00109 4
0.317925 0.00109 4
0.319015 0.00109 3
0.320105 0.00109 6
0.321195 0.00109 10
0.322285 0.00109 4
0.323375 0.00109 6
0.324465 0.00109 11
0.325555 0.00109 10
0.326645 0.00109 5
0.327735 0.00109 2
0.328825 0.00109 5
0.329915 0.00109 8
0.331005 0.00109 11
0.332095 0.00109 4
0.333185 0.00109 4
0.334275 0.00109 4
0.335365 0.00109 8
0.336455 0.00109 6
0.337545 0.00109 4
0.338635 0.00109 6
0.339725 0.00109 1
0.340815 0.00109 6
0.341905 0.00109 9
0.342995 0.00109 2
0.344085 0.00109 3
0.345175 0.00109 6
0.346265 0.00109 5
0.347355 0.00109 4
0.348445 0.00109 4
0.349535 0.00109 6
0.350625 0.00109 8
0.351715 0.00109 12
0.352805 0.00109 7
0.353895 0.00109 2
0.354985 0.00109 3
0.356075 0.00109 8
0.357165 0.00109 9
0.358255 0.00109 4
0.359345 0.00109 7
0.360435 0.00109 7
0.361525 0.00109 4
0.362615 0.00109 4
0.363705 0.00109 6
0.364795 0.00109 9
0.365885 0.00109 9
0.366975 0.00109 2
0.368065 0.00109 10
0.369155 0.00109 4
0.370245 0.00109 10
0.371335 0.00109 2
0.372425 0.00109 3
0.373515 0.00109 1
0.374605 0.00109 6
0.375695 0.00109 6
0.376785 0.00109 10
0.377875 0.00109 11
0.378965 0.00109 6
0.380055 0.00109 8
0.381145 0.00109 7
0.382235 0.00109 9
0.383325 0.00109 8
0.384415 0.00109 9
0.385505 0.00109 9
0.386595 0.00109 7
0.387685 0.00109 2
0.388775 0.00109 2
0.389865 0.00109 6
0.390955 0.00109 10
0.392045 0.00109 7
0.393135 0.00109 7
0.394225 0.00109 8
0.395315 0.00109 9
0.396405 0.00109 4
0.397495 0.00109 7
0.398585 0.00109 10
0.399675 0.00109 6
0.400765 0.00109 6
0.401855 0.00109 8
0.402945 0.00109 8
0.404035 0.00109 4
0.405125 0.00109 14
0.406215 0.00109 1
0.407305 0.00109 4
0.408395 0.00109 6
0.409485 0.00109 4
0.410575 0.00109 5
0.411665 0.00109 8
0.412755 0.00109 4
0.413845 0.00109 3
0.414935 0.00109 7
0.416025 0.00109 3
0.417115 0.00109 9
0.418205 0.00109 2
0.419295 0.00109 8
0.420385 0.00109 3
0.421475 0.00109 4
0.422565 0.00109 7
0.423655 0.00109 12
0.424745 0.00109 7
0.425835 0.00109 6
0.426925 0.00109 3
0.428015 0.00109 7
0.429105 0.00109 8
0.430195 0.00109 10
0.431285 0.00109 5
0.432375 0.00109 5
0.433465 0.00109 10
0.434555 0.00109 11
0.435645 0.00109 6
0.436735 0.00109 10
0.437825 0.00109 3
0.438915 0.00109 9
0.440005 0.00109 8
0.441095 0.00109 1
0.442185 0.00109 4
0.443275 0.00109 5
0.444365 0.00109 7
0.445455 0.00109 7
0.446545 0.00109 7
0.447635 0.00109 7
0.448725 0.00109 5
0.449815 0.00109 4
0.450905 0.00109 9
0.451995 0.00109 7
0.453085 0.00109 6
0.454175 0.00109 3
0.455265 0.00109 10
0.456355 0.00109 2
0.457445 0.00109 8
0.458535 0.00109 7
0.459625 0.00109 2
0.460715 0.00109 8
0.461805 0.00109 5
0.462895 0.00109 12
0.463985 0.00109 10
0.465075 0.00109 3
0.466165 0.00109 5
0.467255 0.00109 6
0.468345 0.00109 5
0.469435 0.00109 7
0.470525 0.00109 7
0.471615 0.00109 9
